Settlement period,Aut Wd,Aut Sat,Aut Sun,Hsr Wd,Hsr Sat,Hsr Sun,Smr Wd,Smr Sat,Smr Sun,Spr Wd,Spr Sat,Spr Sun,Wtr Wd,Wtr Sat,Wtr Sun
0:30,8.039,8.169,7.994,7.493,7.502,7.497,7.903,7.953,7.807,8.666,8.510,8.625,9.497,9.487,9.278
1:00,7.914,8.067,7.846,7.359,7.335,7.366,7.558,7.791,7.661,8.575,8.492,8.458,9.514,9.309,9.124
1:30,7.898,7.889,7.733,7.223,7.239,7.268,7.495,7.659,7.567,8.629,8.449,8.533,9.597,9.296,9.174
2:00,7.827,7.721,7.577,7.177,7.137,7.137,7.486,7.535,7.450,8.623,8.395,8.458,9.470,9.140,9.062
2:30,7.853,7.654,7.536,7.196,7.063,7.115,7.448,7.626,7.404,8.676,8.328,8.564,9.390,8.992,8.956
3:00,7.799,7.576,7.479,7.135,7.032,7.064,7.460,7.530,7.369,8.577,8.188,8.483,9.317,8.930,8.891
3:30,7.737,7.448,7.444,7.082,6.988,7.026,7.504,7.375,7.309,8.552,8.130,8.418,9.238,8.853,8.790
4:00,7.748,7.426,7.441,7.051,6.963,6.950,7.363,7.312,7.291,8.470,8.100,8.375,9.117,8.760,8.680
4:30,7.684,7.385,7.380,6.958,6.859,6.869,7.368,7.258,7.245,8.424,8.048,8.213,9.224,8.687,8.577
5:00,7.735,7.390,7.316,6.990,6.807,6.807,7.269,7.139,7.088,8.481,8.120,8.200,9.268,8.626,8.535
5:30,8.026,7.448,7.229,7.151,6.753,6.726,7.390,6.994,6.924,8.746,8.102,8.212,9.394,8.635,8.502
6:00,8.364,7.599,7.265,7.306,6.739,6.657,7.639,7.029,6.901,8.977,8.159,8.023,9.841,8.824,8.595
6:30,8.746,7.818,7.408,7.480,6.757,6.678,7.902,7.260,7.093,9.222,8.088,8.109,10.437,9.159,8.777
7:00,9.497,8.157,7.690,8.163,7.033,6.836,8.563,7.617,7.469,9.887,8.265,8.301,10.972,9.424,9.027
7:30,11.035,8.529,7.922,9.570,7.523,7.076,10.269,8.288,7.753,11.510,9.215,8.569,12.560,10.040,9.387
8:00,12.837,8.834,7.952,11.038,7.878,7.287,11.897,8.803,7.887,13.359,9.318,8.757,14.643,10.333,9.473
8:30,15.182,9.778,8.431,13.049,8.887,7.714,14.084,9.808,8.132,15.676,10.136,9.106,17.086,11.137,9.634
9:00,16.535,10.529,8.651,14.255,9.748,7.991,15.522,10.457,8.485,16.877,10.882,9.519,18.571,11.975,9.876
9:30,17.610,11.503,8.971,15.219,10.492,8.315,16.585,11.410,8.851,17.888,11.870,9.748,19.887,13.156,10.259
10:00,18.067,11.878,9.184,15.692,10.743,8.548,17.040,11.649,9.052,18.229,11.999,9.999,20.491,13.637,10.577
10:30,18.283,12.110,9.535,15.905,10.995,8.862,17.295,12.042,9.453,18.404,12.149,10.237,20.703,13.910,10.941
11:00,18.356,12.266,9.827,15.972,11.095,9.113,17.325,12.085,9.591,18.455,12.266,10.605,20.707,13.903,11.134
11:30,18.420,12.287,9.970,16.115,11.050,9.255,17.415,12.140,9.755,18.568,12.200,10.740,20.722,13.826,11.261
12:00,18.473,12.342,10.184,16.221,11.101,9.398,17.502,12.098,9.912,18.580,12.094,10.697,20.766,13.800,11.425
12:30,18.462,12.308,10.320,16.347,11.132,9.542,17.514,12.103,10.079,18.553,12.098,10.732,20.853,13.726,11.613
13:00,18.327,12.314,10.427,16.281,11.111,9.596,17.457,12.025,10.085,18.386,11.717,10.567,20.883,13.742,11.815
13:30,18.214,12.244,10.436,16.348,11.153,9.560,17.483,12.157,10.091,18.301,11.769,10.621,20.762,13.563,11.754
14:00,18.160,12.223,10.412,16.312,11.158,9.563,17.347,12.165,10.013,18.139,11.632,10.692,20.572,13.437,11.642
14:30,18.075,12.141,10.291,16.286,11.047,9.508,17.329,12.016,9.983,18.052,11.312,10.496,20.440,13.404,11.606
15:00,17.944,12.031,10.172,16.169,11.111,9.410,17.254,11.892,9.913,17.835,11.090,10.397,20.382,13.285,11.489
15:30,17.667,11.985,10.056,16.057,11.017,9.444,17.057,11.780,9.856,17.644,11.185,10.258,20.014,13.212,11.269
16:00,17.208,11.971,10.069,15.722,10.937,9.418,16.574,11.837,9.772,17.151,10.964,10.046,19.382,13.103,11.086
16:30,16.471,11.817,9.839,15.085,10.738,9.199,15.912,11.628,9.644,16.412,10.908,9.705,18.661,13.063,10.905
17:00,15.583,11.570,9.632,14.379,10.525,8.853,15.227,11.371,9.345,15.454,10.785,9.322,17.626,12.897,10.756
17:30,14.369,11.082,9.422,13.412,10.262,8.766,13.880,11.035,9.330,14.044,10.433,9.070,16.288,12.439,10.673
18:00,12.846,10.568,9.113,11.998,9.570,8.672,12.318,10.142,8.968,12.455,9.843,8.851,14.473,11.748,10.524
18:30,11.732,9.968,9.010,10.919,9.091,8.568,11.390,9.764,9.038,11.320,9.605,8.780,13.452,11.231,10.419
19:00,11.478,9.658,9.120,10.352,8.826,8.525,10.870,9.323,8.888,10.888,9.059,8.730,13.225,10.956,10.495
