Settlement period,Aut Wd,Aut Sat,Aut Sun,Hsr Wd,Hsr Sat,Hsr Sun,Smr Wd,Smr Sat,Smr Sun,Spr Wd,Spr Sat,Spr Sun,Wtr Wd,Wtr Sat,Wtr Sun
19:30,11.480,9.628,9.074,10.017,8.649,8.471,10.556,9.219,8.906,10.706,9.012,9.079,13.014,10.781,10.321
20:00,11.380,9.678,9.122,9.770,8.610,8.422,10.233,9.185,8.743,10.567,9.084,8.962,12.645,10.696,10.303
20:30,11.088,9.701,9.135,9.668,8.705,8.551,9.989,9.087,8.754,10.609,9.223,9.154,12.239,10.680,10.284
21:00,10.656,9.588,9.071,9.631,8.764,8.586,9.758,9.195,8.622,10.427,9.386,9.321,11.776,10.690,10.252
21:30,10.053,9.532,9.004,9.431,8.816,8.572,9.495,9.113,8.695,10.024,9.486,9.255,11.122,10.555,10.156
22:00,9.568,9.365,8.822,9.032,8.740,8.475,9.396,9.137,8.556,9.630,9.243,9.043,10.595,10.378,9.975
22:30,9.063,9.120,8.621,8.539,8.555,8.211,8.792,8.954,8.324,9.249,9.069,8.763,10.223,10.067,9.868
23:00,8.730,8.831,8.352,8.190,8.295,7.985,8.599,8.698,8.142,8.954,8.882,8.509,9.936,9.874,9.699
23:30,8.453,8.508,7.975,7.882,7.867,7.486,8.258,8.375,7.838,8.914,8.383,7.133,9.731,9.641,9.348
0:00,8.286,8.294,7.866,7.693,7.590,7.348,8.045,8.008,7.776,8.825,8.360,7.166,9.614,9.410,9.243
,,,,,,,,,,,,,,,
