Settlement period,Aut Wd,Aut Sat,Aut Sun,Hsr Wd,Hsr Sat,Hsr Sun,Smr Wd,Smr Sat,Smr Sun,Spr Wd,Spr Sat,Spr Sun,Wtr Wd,Wtr Sat,Wtr Sun
0:30,11.680,11.845,11.708,11.175,11.300,11.346,11.423,11.681,11.503,11.711,12.266,12.135,12.801,13.006,13.082
1:00,11.394,11.499,11.359,10.801,10.898,10.931,11.071,11.217,11.098,11.476,11.821,11.541,12.439,12.564,12.579
1:30,11.166,11.214,11.077,10.590,10.610,10.673,10.801,10.910,10.840,11.203,11.419,11.203,12.165,12.242,12.221
2:00,10.996,11.048,10.947,10.470,10.486,10.531,10.635,10.720,10.673,11.035,11.205,11.053,11.952,12.030,11.980
2:30,10.860,10.892,10.812,10.333,10.391,10.353,10.458,10.541,10.495,10.899,11.053,10.979,11.817,11.856,11.833
3:00,10.741,10.696,10.629,10.197,10.234,10.245,10.319,10.331,10.352,10.781,10.970,10.829,11.769,11.777,11.709
3:30,10.700,10.626,10.588,10.180,10.129,10.214,10.240,10.234,10.277,10.708,10.800,10.748,11.776,11.747,11.648
4:00,10.764,10.644,10.615,10.178,10.084,10.189,10.294,10.184,10.251,10.709,10.721,10.807,11.746,11.655,11.553
4:30,10.851,10.691,10.666,10.225,10.179,10.245,10.347,10.252,10.246,10.759,10.774,10.801,11.812,11.681,11.566
5:00,10.877,10.691,10.623,10.276,10.132,10.219,10.287,10.098,10.127,10.868,10.820,10.850,11.941,11.798,11.583
5:30,11.054,10.738,10.617,10.336,10.098,10.152,10.243,9.991,9.972,11.078,10.799,10.894,12.179,11.893,11.648
6:00,11.538,10.948,10.744,10.715,10.282,10.157,10.545,10.153,10.002,11.534,11.086,11.123,12.612,12.101,11.786
6:30,12.429,11.637,11.148,11.338,10.832,10.398,11.329,10.747,10.302,12.253,11.620,11.408,13.510,12.689,12.154
7:00,13.930,12.729,12.176,12.570,11.597,11.111,12.640,11.633,11.105,13.510,12.420,12.054,14.965,13.694,12.925
