Settlement period,Aut Wd,Aut Sat,Aut Sun,Hsr Wd,Hsr Sat,Hsr Sun,Smr Wd,Smr Sat,Smr Sun,Spr Wd,Spr Sat,Spr Sun,Wtr Wd,Wtr Sat,Wtr Sun
10:30,20.594,11.120,9.374,14.890,10.176,8.991,18.370,10.124,8.714,19.084,10.643,9.230,23.358,12.638,10.842
11:00,20.893,11.113,9.483,15.282,10.312,9.232,18.801,10.083,8.871,19.463,10.526,9.367,23.670,12.689,10.967
11:30,20.948,11.078,9.638,15.466,10.352,9.280,18.921,10.241,9.020,19.519,10.533,9.365,23.705,12.667,11.098
12:00,21.061,11.057,9.714,15.626,10.397,9.463,19.049,10.328,9.130,19.688,10.800,9.336,23.736,12.688,11.232
12:30,20.747,11.049,9.797,15.628,10.215,9.320,18.926,10.313,9.170,19.470,10.835,9.383,23.414,12.587,11.187
13:00,20.281,11.020,9.766,15.369,10.100,9.430,18.479,10.259,9.287,18.873,10.569,9.463,22.813,12.517,11.197
13:30,20.079,11.031,9.902,15.364,10.158,9.555,18.401,10.236,9.341,18.824,10.400,9.490,22.661,12.390,11.208
14:00,19.764,10.944,9.854,15.420,10.090,9.643,18.292,10.197,9.411,18.701,10.313,9.462,22.339,12.301,11.151
14:30,19.482,10.763,9.774,15.303,10.058,9.641,17.964,10.117,9.418,18.353,10.301,9.434,21.867,12.117,11.058
15:00,19.167,10.689,9.770,15.198,10.036,9.614,17.701,10.083,9.357,18.042,10.289,9.498,21.495,11.999,10.985
15:30,18.756,10.510,9.708,14.911,9.939,9.530,17.366,9.931,9.311,17.655,10.063,9.268,21.051,11.888,10.929
16:00,18.244,10.398,9.539,14.612,9.862,9.407,16.863,9.837,9.156,17.117,9.978,9.134,20.501,11.795,10.804
16:30,17.301,10.152,9.263,14.110,9.579,9.127,15.999,9.515,8.867,16.245,9.541,8.703,19.601,11.607,10.570
17:00,15.804,9.970,8.957,12.907,9.265,8.845,14.559,9.395,8.582,14.793,9.383,8.458,18.106,11.411,10.316
17:30,14.266,9.678,8.669,11.767,9.097,8.512,13.084,9.225,8.357,13.337,9.377,8.221,16.501,11.202,10.080
18:00,12.876,9.466,8.567,10.868,8.900,8.296,11.754,9.045,8.136,12.063,9.165,8.126,15.049,10.989,9.973
18:30,12.051,9.231,8.437,10.261,8.707,8.111,10.912,8.821,8.022,11.287,8.954,8.128,14.028,10.766,9.821
19:00,11.573,9.057,8.521,9.893,8.471,8.015,10.333,8.520,8.000,10.689,8.695,8.129,13.340,10.441,9.711
19:30,11.311,9.048,8.528,9.677,8.343,7.941,9.957,8.353,7.911,10.311,8.595,8.193,12.865,10.283,9.618
20:00,11.164,9.027,8.588,9.629,8.430,7.978,9.741,8.269,7.796,10.226,8.616,8.233,12.509,10.215,9.592
20:30,10.882,9.025,8.606,9.535,8.449,8.017,9.460,8.210,7.761,10.188,8.712,8.300,12.000,10.041,9.489
21:00,10.429,8.936,8.489,9.327,8.512,8.072,9.162,8.218,7.718,10.094,8.953,8.396,11.457,9.913,9.291
21:30,9.861,8.768,8.307,9.179,8.569,7.980,8.856,8.163,7.619,9.785,8.902,8.255,10.766,9.653,8.995
22:00,9.320,8.567,8.046,8.782,8.351,7.799,8.640,8.065,7.555,9.360,8.633,7.994,10.149,9.438,8.783
22:30,8.841,8.339,7.776,8.287,8.062,7.455,8.332,7.936,7.428,8.857,8.384,7.709,9.577,9.101,8.616
23:00,8.390,8.060,7.421,7.856,7.758,7.123,7.938,7.731,7.197,8.405,8.101,7.422,9.122,8.823,8.345
23:30,7.810,7.711,7.155,7.168,7.287,6.624,7.407,7.399,6.859,7.755,7.786,6.161,8.619,8.579,8.119
0:00,7.398,7.431,6.958,6.735,6.838,6.340,7.025,7.032,6.579,7.366,7.487,5.918,8.181,8.246,7.826
,,,,,,,,,,,,,,,
