Settlement period,Aut Wd,Aut Sat,Aut Sun,Hsr Wd,Hsr Sat,Hsr Sun,Smr Wd,Smr Sat,Smr Sun,Spr Wd,Spr Sat,Spr Sun,Wtr Wd,Wtr Sat,Wtr Sun
0:30,7.120,7.205,7.170,6.281,6.652,6.515,6.674,6.859,6.786,7.183,7.259,7.367,8.217,8.246,8.278
1:00,6.945,6.925,6.935,6.127,6.423,6.312,6.511,6.601,6.419,7.027,7.083,6.958,8.355,8.286,8.321
1:30,7.009,6.918,6.922,6.143,6.332,6.199,6.523,6.547,6.453,7.192,6.982,7.146,8.208,8.034,8.082
2:00,6.941,6.817,6.802,5.984,6.123,6.039,6.414,6.342,6.405,7.225,6.887,7.128,8.210,7.993,8.023
2:30,6.859,6.692,6.657,6.031,6.055,5.965,6.385,6.293,6.270,7.137,6.767,7.064,8.060,7.823,7.843
3:00,6.880,6.719,6.715,5.977,6.014,5.897,6.332,6.228,6.114,7.088,6.877,7.044,8.104,7.868,7.858
3:30,6.865,6.691,6.594,6.000,5.955,5.853,6.340,6.363,6.109,7.067,6.903,6.935,7.991,7.692,7.700
4:00,6.886,6.747,6.668,5.934,5.902,5.835,6.305,6.321,5.995,7.022,7.010,6.830,8.000,7.765,7.708
4:30,6.867,6.683,6.596,5.927,5.920,5.823,6.290,6.251,6.065,6.983,6.905,6.803,7.965,7.667,7.680
5:00,6.942,6.779,6.657,5.953,6.022,5.896,6.344,6.213,6.089,7.037,6.959,6.817,8.170,7.813,7.791
5:30,7.251,6.921,6.813,6.192,6.169,6.053,6.447,6.268,6.059,7.343,6.930,7.026,8.534,8.010,7.966
6:00,7.628,7.060,6.932,6.390,6.207,5.973,6.661,6.183,5.964,7.707,7.066,7.059,9.054,8.267,8.129
6:30,8.621,7.463,7.177,7.053,6.838,6.149,7.492,6.557,6.192,8.569,7.346,7.498,10.036,8.719,8.358
7:00,9.911,8.012,7.633,7.531,6.902,6.514,8.470,6.855,6.662,9.572,7.588,7.791,11.548,9.321,8.961
7:30,11.385,8.059,7.575,8.409,7.089,6.549,9.821,7.055,6.648,10.794,7.725,7.839,12.969,9.325,8.787
8:00,13.396,8.429,7.696,9.683,7.510,6.619,11.582,7.361,6.662,12.594,8.004,7.765,15.267,9.790,8.893
8:30,16.132,9.003,7.866,11.577,8.262,6.937,14.044,8.048,6.950,14.973,8.773,7.957,18.375,10.622,9.149
9:00,17.965,9.485,7.937,12.925,8.831,7.240,15.754,8.443,7.128,16.757,9.035,8.015,20.567,11.100,9.266
9:30,19.410,9.992,8.389,13.901,9.289,7.596,17.165,9.002,7.492,18.141,9.543,8.367,22.179,11.700,9.729
10:00,20.080,10.605,8.932,14.474,9.738,8.302,17.825,9.578,8.017,18.709,10.319,8.764,22.863,12.289,10.345
