Settlement period,Aut Wd,Aut Sat,Aut Sun,Hsr Wd,Hsr Sat,Hsr Sun,Smr Wd,Smr Sat,Smr Sun,Spr Wd,Spr Sat,Spr Sun,Wtr Wd,Wtr Sat,Wtr Sun
15:00,0.411,0.459,0.538,0.366,0.401,0.427,0.366,0.416,0.455,0.444,0.406,0.549,0.584,0.672,0.730
15:30,0.429,0.471,0.539,0.376,0.411,0.433,0.376,0.434,0.458,0.459,0.452,0.534,0.602,0.680,0.749
16:00,0.466,0.496,0.566,0.399,0.439,0.449,0.415,0.457,0.473,0.487,0.456,0.564,0.651,0.697,0.782
16:30,0.515,0.536,0.592,0.439,0.461,0.485,0.465,0.471,0.500,0.524,0.497,0.611,0.711,0.734,0.842
17:00,0.574,0.556,0.632,0.480,0.483,0.528,0.514,0.496,0.549,0.587,0.511,0.629,0.798,0.821,0.905
17:30,0.638,0.623,0.715,0.526,0.510,0.544,0.550,0.532,0.575,0.632,0.525,0.687,0.869,0.870,0.949
18:00,0.672,0.659,0.728,0.550,0.546,0.564,0.571,0.551,0.562,0.661,0.551,0.630,0.917,0.912,0.964
18:30,0.698,0.678,0.717,0.551,0.542,0.537,0.559,0.553,0.547,0.662,0.522,0.609,0.932,0.902,0.944
19:00,0.712,0.702,0.723,0.549,0.514,0.529,0.547,0.529,0.532,0.647,0.513,0.607,0.904,0.881,0.895
19:30,0.720,0.682,0.726,0.540,0.509,0.537,0.536,0.516,0.527,0.654,0.568,0.616,0.894,0.866,0.876
20:00,0.706,0.656,0.699,0.527,0.499,0.532,0.531,0.485,0.512,0.649,0.545,0.665,0.859,0.809,0.854
20:30,0.687,0.629,0.684,0.541,0.510,0.548,0.520,0.482,0.509,0.674,0.545,0.660,0.837,0.765,0.824
21:00,0.654,0.595,0.649,0.523,0.504,0.528,0.517,0.472,0.505,0.669,0.560,0.649,0.804,0.744,0.786
21:30,0.625,0.578,0.603,0.530,0.496,0.511,0.505,0.467,0.505,0.656,0.544,0.630,0.763,0.722,0.764
22:00,0.580,0.554,0.562,0.502,0.470,0.492,0.497,0.474,0.502,0.621,0.525,0.583,0.715,0.688,0.711
22:30,0.539,0.511,0.526,0.476,0.447,0.454,0.480,0.453,0.489,0.594,0.516,0.565,0.678,0.656,0.676
23:00,0.478,0.476,0.462,0.417,0.399,0.409,0.436,0.425,0.434,0.536,0.522,0.528,0.667,0.661,0.663
23:30,0.412,0.424,0.400,0.365,0.374,0.356,0.377,0.383,0.377,0.463,0.459,0.392,0.607,0.620,0.604
0:00,0.386,0.394,0.373,0.326,0.330,0.321,0.347,0.355,0.348,0.430,0.425,0.352,0.563,0.592,0.570
,,,,,,,,,,,,,,,
