Settlement period,Aut Wd,Aut Sat,Aut Sun,Hsr Wd,Hsr Sat,Hsr Sun,Smr Wd,Smr Sat,Smr Sun,Spr Wd,Spr Sat,Spr Sun,Wtr Wd,Wtr Sat,Wtr Sun
0:30,0.351,0.364,0.374,0.297,0.294,0.299,0.307,0.325,0.325,0.397,0.380,0.400,0.548,0.570,0.580
1:00,0.339,0.355,0.379,0.283,0.293,0.289,0.285,0.307,0.311,0.370,0.352,0.369,1.291,1.319,1.315
1:30,0.360,0.380,0.397,0.277,0.287,0.282,0.297,0.316,0.316,0.401,0.398,0.402,1.225,1.258,1.246
2:00,0.705,0.759,0.737,0.445,0.460,0.463,0.589,0.613,0.603,1.023,1.084,1.078,1.223,1.246,1.240
2:30,0.635,0.677,0.663,0.399,0.403,0.404,0.496,0.514,0.506,0.915,0.976,0.955,1.213,1.224,1.222
3:00,0.607,0.658,0.630,0.366,0.362,0.377,0.452,0.469,0.468,0.898,0.989,0.960,1.229,1.249,1.247
3:30,0.584,0.630,0.611,0.356,0.349,0.363,0.439,0.453,0.485,0.857,0.933,0.957,1.161,1.178,1.184
4:00,0.556,0.597,0.576,0.371,0.367,0.375,0.444,0.452,0.467,0.834,0.908,0.948,1.067,1.088,1.090
4:30,0.494,0.507,0.506,0.342,0.346,0.344,0.401,0.407,0.424,0.789,0.807,0.856,0.996,1.008,1.016
5:00,0.492,0.500,0.493,0.347,0.342,0.342,0.411,0.399,0.402,0.752,0.791,0.790,0.968,0.979,0.970
5:30,0.455,0.459,0.443,0.332,0.305,0.300,0.370,0.375,0.372,0.685,0.707,0.676,0.886,0.890,0.876
6:00,0.503,0.470,0.448,0.362,0.329,0.326,0.431,0.388,0.382,0.702,0.723,0.697,0.871,0.839,0.821
6:30,0.522,0.487,0.457,0.387,0.350,0.342,0.443,0.410,0.403,0.700,0.698,0.717,0.870,0.838,0.801
7:00,0.590,0.514,0.489,0.401,0.372,0.345,0.485,0.415,0.399,0.716,0.679,0.727,0.915,0.819,0.805
7:30,0.678,0.534,0.509,0.465,0.407,0.383,0.548,0.460,0.414,0.758,0.701,0.692,1.017,0.866,0.842
8:00,0.692,0.606,0.565,0.536,0.459,0.443,0.583,0.496,0.470,0.767,0.738,0.670,0.692,0.592,0.556
8:30,0.663,0.685,0.586,0.544,0.515,0.484,0.568,0.550,0.523,0.754,0.746,0.730,0.690,0.672,0.610
9:00,0.470,0.563,0.514,0.403,0.442,0.409,0.400,0.456,0.443,0.508,0.534,0.565,0.611,0.669,0.624
9:30,0.473,0.588,0.585,0.417,0.468,0.481,0.425,0.505,0.528,0.511,0.547,0.619,0.585,0.674,0.693
10:00,0.441,0.555,0.594,0.399,0.456,0.496,0.387,0.478,0.514,0.458,0.528,0.630,0.560,0.669,0.721
10:30,0.424,0.551,0.586,0.400,0.444,0.506,0.380,0.471,0.535,0.449,0.492,0.615,0.546,0.667,0.727
11:00,0.418,0.518,0.572,0.401,0.437,0.506,0.387,0.465,0.530,0.449,0.497,0.579,0.537,0.658,0.725
11:30,0.427,0.513,0.580,0.401,0.450,0.525,0.393,0.464,0.542,0.457,0.480,0.586,0.535,0.648,0.722
12:00,0.429,0.522,0.573,0.409,0.484,0.527,0.399,0.471,0.543,0.453,0.497,0.520,0.544,0.653,0.743
12:30,0.437,0.544,0.597,0.419,0.484,0.508,0.417,0.481,0.537,0.468,0.501,0.623,0.562,0.669,0.745
13:00,0.444,0.543,0.605,0.418,0.476,0.518,0.404,0.471,0.524,0.461,0.477,0.574,0.563,0.679,0.751
13:30,0.422,0.507,0.590,0.384,0.471,0.495,0.379,0.446,0.499,0.438,0.470,0.581,0.566,0.663,0.738
14:00,0.414,0.482,0.553,0.369,0.416,0.459,0.371,0.432,0.462,0.433,0.481,0.539,0.566,0.660,0.720
14:30,0.413,0.466,0.539,0.368,0.417,0.438,0.369,0.422,0.462,0.439,0.463,0.522,0.579,0.672,0.731
