Settlement period,Aut Wd,Aut Sat,Aut Sun,Hsr Wd,Hsr Sat,Hsr Sun,Smr Wd,Smr Sat,Smr Sun,Spr Wd,Spr Sat,Spr Sun,Wtr Wd,Wtr Sat,Wtr Sun
0:30,7.964,7.631,7.677,7.026,7.106,7.037,7.383,7.452,7.311,7.989,7.607,7.899,8.910,8.891,8.738
1:00,7.833,7.358,7.383,6.824,6.748,6.757,7.198,7.089,7.010,7.808,7.089,7.468,8.747,8.554,8.319
1:30,7.800,7.261,7.259,6.681,6.615,6.578,7.110,6.908,6.810,7.698,7.094,7.424,8.648,8.342,8.109
2:00,7.742,7.181,7.104,6.634,6.545,6.504,7.030,6.786,6.705,7.626,6.939,7.391,8.631,8.248,7.997
2:30,7.651,7.134,7.039,6.585,6.470,6.403,6.961,6.677,6.574,7.518,7.034,7.273,8.549,8.171,7.929
3:00,7.650,7.088,7.003,6.525,6.366,6.308,6.918,6.552,6.451,7.511,6.851,7.103,8.544,8.137,7.841
3:30,7.521,7.015,6.769,6.446,6.271,6.221,6.811,6.439,6.398,7.375,6.587,7.038,8.418,7.982,7.728
4:00,7.440,6.950,6.702,6.380,6.201,6.080,6.796,6.413,6.220,7.279,6.558,6.924,8.372,7.895,7.644
4:30,7.399,6.902,6.640,6.310,6.065,6.005,6.687,6.310,6.047,7.207,6.457,6.871,8.321,7.778,7.531
5:00,7.524,6.960,6.679,6.406,6.128,6.027,6.624,6.186,6.000,7.237,6.463,6.810,8.409,7.791,7.529
5:30,7.792,7.125,6.898,6.589,6.295,6.294,6.753,6.262,6.151,7.538,6.578,6.874,8.853,7.997,7.752
6:00,8.115,7.174,6.932,6.821,6.341,6.275,7.052,6.324,6.192,7.919,6.595,6.956,9.281,8.189,7.866
6:30,8.596,7.377,7.000,7.219,6.447,6.206,7.538,6.496,6.191,8.379,7.023,6.981,9.899,8.522,8.075
7:00,9.336,7.709,7.089,7.810,6.632,6.276,8.216,6.705,6.306,8.958,7.431,7.089,10.754,8.950,8.323
7:30,10.172,8.201,7.347,8.747,7.239,6.729,9.275,7.295,6.739,9.900,8.060,7.683,11.844,9.594,8.763
8:00,11.605,9.239,7.819,10.042,8.146,7.264,10.760,8.334,7.291,11.415,9.061,8.407,13.439,10.856,9.407
8:30,14.060,11.361,8.593,12.385,10.097,7.835,13.133,10.297,7.895,13.886,11.391,9.230,16.122,13.193,10.326
9:00,16.149,13.559,9.453,14.359,12.301,8.426,15.147,12.589,8.580,16.115,14.072,10.091,18.297,15.465,11.117
9:30,17.329,15.131,10.875,15.533,13.666,9.660,16.327,14.142,9.953,17.366,15.126,11.214,19.650,16.971,12.647
10:00,17.860,15.630,12.152,16.196,14.099,11.130,16.906,14.669,11.302,18.081,15.498,12.554,20.359,17.577,14.142
10:30,18.382,16.154,13.357,16.811,14.663,12.383,17.578,15.216,12.567,18.741,16.136,13.732,20.967,18.272,15.477
11:00,18.593,16.374,14.222,17.010,14.812,13.168,17.847,15.372,13.351,18.955,16.252,14.228,21.197,18.602,16.220
11:30,18.723,16.443,14.537,17.335,15.030,13.694,18.050,15.515,13.848,19.014,16.083,14.902,21.380,18.748,16.818
12:00,18.940,16.747,14.776,17.564,15.202,13.981,18.155,15.771,14.123,19.088,16.336,15.030,21.524,18.929,17.158
12:30,18.809,16.545,14.974,17.516,15.199,14.008,18.062,15.812,14.256,18.958,16.290,15.217,21.397,18.841,17.231
13:00,18.775,16.487,14.949,17.450,15.109,14.034,18.046,15.641,14.289,18.892,16.093,15.124,21.352,18.689,17.307
13:30,18.740,16.494,15.155,17.491,15.113,14.154,18.039,15.647,14.485,18.805,15.950,15.189,21.285,18.623,17.459
14:00,18.771,16.437,15.119,17.642,15.032,14.146,18.072,15.638,14.455,18.845,16.278,15.155,21.257,18.517,17.405
14:30,18.603,16.320,15.120,17.641,14.974,14.117,17.919,15.475,14.337,18.619,15.923,15.025,21.038,18.358,17.318
15:00,18.463,16.271,14.878,17.573,14.866,14.026,17.833,15.358,14.165,18.514,15.695,14.908,20.874,18.230,17.160
15:30,18.377,16.183,14.684,17.485,14.847,13.866,17.748,15.278,14.095,18.420,15.394,14.919,20.728,18.102,16.987
16:00,18.203,16.154,14.499,17.310,14.717,13.597,17.563,15.163,13.857,18.134,15.245,14.796,20.560,17.985,16.777
